track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,song_emotion,Data Split,,random,Track Name (Proper),,Artist Name (Proper)
Say So,Doja Cat,88,Hot Pink,80,787,673,-4583,0,11,159,264,0.000335,904,779,110962,4,03:58,Happy,Test,,0.990917554620203,Say So,,Doja Cat
Blinding Lights,The Weeknd,93,After Hours,90,514,73,-5934,1,1,598,146,0.00954,897,334,171005,4,03:20,Sad,Train,,0.450523575418373,Blinding Lights,,The Weeknd
Supalonely (feat. Gus Dapperton),Benee,67,Hey u x,63,862,631,-4746,1,7,515,291,209,123,841,128978,4,03:43,Happy,Test,,0.97140734038018,Supalonely (Feat. Gus Dapperton),,Benee
Savage,Megan Thee Stallion,82,Suga,70,843,741,-5609,1,11,334,252,0,96,68,168983,4,02:35,Sad,Train,,0.168791942263127,Savage,,Megan Thee Stallion
Moral of the Story,Ashe,68,Moral of the Story,76,572,406,-8624,1,10,427,587,0.000448,102,265,119812,4,03:21,Sad,Train,,0.357005756897283,Moral Of The Story,,Ashe
Rain On Me (with Ariana Grande),Lady Gaga,84,Rain On Me (with Ariana Grande),74,672,855,-3764,1,9,397,21,0,323,646,123056,4,03:02,Neutral,Train,,0.235386938756211,Rain On Me (With Ariana Grande),,Lady Gaga
Babylon,Lady Gaga,84,Chromatica,64,698,799,-4372,1,2,342,129,0.000546,215,351,115957,4,02:42,Neutral,Train,,0.518238535379396,Babylon,,Lady Gaga
Replay,Lady Gaga,84,Chromatica,66,658,878,-3875,1,1,123,792,0,944,683,122015,4,03:07,Happy,Train,,0.281141819251675,Replay,,Lady Gaga
My Oh My (feat. DaBaby),Camila Cabello,82,Romance,75,724,491,-6024,1,8,296,18,0.00129,887,383,105046,4,02:51,Neutral,Train,,0.469345282977672,My Oh My (Feat. Dababy),,Camila Cabello
Physical,Dua Lipa,88,Future Nostalgia,75,647,844,-3756,1,0,457,137,658,102,746,146967,4,03:14,Happy,Validation,,0.70618478350236,Physical,,Dua Lipa
Glitter,Benee,67,FIRE ON MARZZ,66,801,589,-5157,1,7,485,863,0,162,58,116934,4,03:00,Sad,Train,,0.155646702083721,Glitter,,Benee
Put Your Records On,Ritt Momney,60,Put Your Records On,77,399,491,-10778,0,6,538,563,89,11,151,91066,4,03:30,Sad,Validation,,0.640758349218358,Put Your Records On,,Ritt Momney
Stuck with U (with Justin Bieber),Ariana Grande,87,Stuck with U,82,597,45,-6658,1,8,418,223,0,382,537,178765,3,03:48,Neutral,Validation,,0.779181871680034,Stuck With U (With Justin Bieber),,Ariana Grande
Break My Heart,Dua Lipa,88,Future Nostalgia,78,73,729,-3434,0,4,884,167,0.000139,349,467,113011,4,03:42,Neutral,Train,,0.330395999279848,Break My Heart,,Dua Lipa
Selfish,Madison Beer,71,Life Support,66,375,461,-6202,1,9,279,627,0,386,233,75217,4,03:43,Sad,Validation,,0.622522822276605,Selfish,,Madison Beer
LEMONS - Demo,Brye,48,LEMONS (Demo),57,501,168,-13682,0,4,304,901,0,134,514,82574,4,03:13,Neutral,Train,,0.203555256615651,Lemons - Demo,,Brye
The Less I Know The Better,Tame Impala,78,Currents,84,64,74,-4083,1,4,284,115,678,167,785,116879,4,03:36,Happy,Train,,0.284605902231704,The Less I Know The Better,,Tame Impala
Buttercup,Jack Stauber,62,Pop Food,72,705,373,-9066,1,7,384,723,81,289,551,120046,4,03:28,Neutral,Validation,,0.603964449240346,Buttercup,,Jack Stauber
Dissolve,Absofacto,56,Thousand Peaces,68,688,582,-10668,0,6,542,23,157,663,872,85486,4,03:45,Happy,Test,,0.921251449712009,Dissolve,,Absofacto
Sunday Best,Surfaces,71,Where the Light Is,77,878,525,-6832,1,5,578,183,0,714,694,112022,4,02:39,Happy,Train,,0.317117824632643,Sunday Best,,Surfaces
Airplane Mode,Limbo,50,Holo,0,665,373,-10631,1,7,158,852,118,108,7,119905,4,02:44,Sad,Train,,0.221643708746224,Airplane Mode,,Limbo
Chinese New Year,Sales,61,Chinese New Year,66,744,845,-7422,0,4,253,759,232,1,749,75221,4,02:40,Happy,Test,,0.807421754177375,Chinese New Year,,Sales
LMK,Lil Xxel,51,LMK,65,748,457,-756,1,6,465,292,294,444,464,123035,4,03:08,Neutral,Test,,0.928937912592689,Lmk,,Lil Xxel
